sample_idx,gen_idx,word_idx,word_text,word_tok_start,word_tok_end,label
1,0,7," male,",18,20,1
1,0,100, [NOT,135,137,1
1,0,98, medical,132,133,1
1,0,97," infection.

Past",129,132,1
1,0,4," Gutierrez,",10,13,0
1,0,245, stuffy,356,358,0
1,0,54, his,80,81,0
1,0,198, upper,294,295,0
2,0,156," normal.

Test",232,235,1
2,0,159," MENTIONED]

Assessment",239,245,1
2,0,92, [NOT,143,145,1
2,0,93," MENTIONED]

Physical",145,150,1
2,0,0,"Subjective:
HPI:",0,6,0
2,0,241, non-comedogenic,360,364,0
2,0,202, week,312,313,0
2,0,120, Open,186,187,0
3,0,268, needed,402,403,1
3,0,107, alcohol,144,145,1
3,0,266, Propranolol,397,401,1
3,0,223, [NOT,316,318,1
3,0,122, of,163,164,0
3,0,214, breast,297,298,0
3,0,189," breasts.

Current",246,249,0
3,0,29, approximately,48,49,0
4,0,139," daily.

Objective:
Vital",197,203,1
4,0,80, and,114,115,1
4,0,81, has,115,116,1
4,0,141, [NOT,205,207,1
4,0,233, due,369,370,0
4,0,287," daily,",455,457,0
4,0,150," normal,",223,225,0
4,0,179, pH,277,278,0
5,0,176," 50mg/day.

Objective:
Vital",265,274,1
5,0,177, signs:,274,276,1
5,0,179," MENTIONED]

Physical",278,283,1
5,0,178, [NOT,276,278,1
5,0,253, ECG,388,390,0
5,0,138, negative,206,207,0
5,0,48, chest,74,75,0
5,0,315, continue,506,507,0
6,0,167, I,222,223,1
6,0,175," MENTIONED]
Physical",242,247,1
6,0,174, [NOT,240,242,1
6,0,164, taking,214,215,1
6,0,100, tolerating,125,127,0
6,0,20, she,33,34,0
6,0,275, work,397,398,0
6,0,148, first,192,193,0
8,0,114, saturation:,180,182,1
8,0,109, Pulse,169,170,1
8,0,116," MENTIONED]
-",184,189,1
8,0,118, [NOT,191,193,1
8,0,60, managing,89,90,0
8,0,85, mg,126,127,0
8,0,257, down,428,429,0
8,0,69, as,98,99,0
9,0,388, the,567,568,1
9,0,391, of,570,571,1
9,0,387, determine,566,567,1
9,0,389, next,568,569,1
9,0,304, an,459,460,0
9,0,22, doctor,34,35,0
9,0,337, possibility,499,500,0
9,0,30, severe,47,48,0
10,0,140, Results:,210,212,1
10,0,84," symptoms.

Current",119,122,1
10,0,88, signs:,134,136,1
10,0,160, list:,245,247,1
10,0,169, which,265,266,0
10,0,14, her,27,28,0
10,0,223, few,337,338,0
10,0,118, the,184,185,0
11,0,113," medications:
[NOT",142,146,1
11,0,269, in,380,381,1
11,0,270, 2-3,381,385,1
11,0,263, a,372,373,1
11,0,259, with,363,364,0
11,0,209, referral,305,306,0
11,0,52, denies,67,68,0
11,0,243, also,345,346,0
12,0,207, I,308,309,1
12,0,97, prescribed,132,133,1
12,0,187, I,283,284,1
12,0,228, The,335,336,1
12,0,130, He,187,188,0
12,0,50, formula,73,74,0
12,0,258, and,376,377,0
12,0,122," infection,",173,175,0
13,0,141, known,188,189,1
13,0,241, Macromastia;,360,365,1
13,0,191, [NOT,262,264,1
13,0,218," palpable.

Test",310,314,1
13,0,149," pain,",199,201,0
13,0,308, each,442,443,0
13,0,181, rashes,238,240,0
13,0,282, have,413,414,0
14,0,300, the,455,456,1
14,0,66, taking,86,87,1
14,0,70, COVID-19,93,96,1
14,0,296," follow-up.

Follow-up:",446,452,1
14,0,33, particularly,49,50,0
14,0,274, methotrexate.,418,423,0
14,0,53, once,72,73,0
14,0,271, continue,415,416,0
15,0,144, left,231,232,1
15,0,140, 5,226,228,1
15,0,145," kidney.

Assessment",232,236,1
15,0,142, in,229,230,1
15,0,232, the,368,369,0
15,0,267, and,409,410,0
15,0,21, bright,32,33,0
15,0,272, if,414,415,0
