granularity,layer,head,delta_restore
resid_pre (whole layer),20,,-1.25
attn (all heads),20,,0.1875
mlp,20,,-0.0625
attn_head,20,0.0,0.0
attn_head,20,1.0,0.0
attn_head,20,2.0,0.0
attn_head,20,3.0,-0.0625
attn_head,20,4.0,0.0
attn_head,20,5.0,0.0
attn_head,20,6.0,0.0
attn_head,20,7.0,-0.125
attn_head,20,8.0,-0.0625
attn_head,20,9.0,-0.125
attn_head,20,10.0,0.0
attn_head,20,11.0,0.0
attn_head,20,12.0,-0.125
attn_head,20,13.0,0.0
attn_head,20,14.0,0.25
attn_head,20,15.0,0.0
attn_head,20,16.0,0.0625
attn_head,20,17.0,0.0
attn_head,20,18.0,-0.25
attn_head,20,19.0,0.0
attn_head,20,20.0,0.125
attn_head,20,21.0,0.0
attn_head,20,22.0,0.0
attn_head,20,23.0,0.0625
attn_head,20,24.0,-0.125
attn_head,20,25.0,0.0
attn_head,20,26.0,-0.0625
attn_head,20,27.0,0.0625
attn_head,20,28.0,0.0
attn_head,20,29.0,-0.1875
attn_head,20,30.0,-0.0625
attn_head,20,31.0,0.0
