layer,granularity,m_corrupted,m_patched,delta_restore
0,resid_pre,3.875,3.875,0.0
1,resid_pre,3.875,3.9375,-0.0625
2,resid_pre,3.875,3.9375,-0.0625
3,resid_pre,3.875,3.9375,-0.0625
4,resid_pre,3.875,3.875,0.0
5,resid_pre,3.875,3.875,0.0
6,resid_pre,3.875,3.875,0.0
7,resid_pre,3.875,4.0,-0.125
8,resid_pre,3.875,3.9375,-0.0625
9,resid_pre,3.875,4.0,-0.125
10,resid_pre,3.875,3.875,0.0
11,resid_pre,3.875,4.0,-0.125
12,resid_pre,3.875,3.9375,-0.0625
13,resid_pre,3.875,3.875,0.0
14,resid_pre,3.875,4.0,-0.125
15,resid_pre,3.875,4.3125,-0.4375
16,resid_pre,3.875,4.3125,-0.4375
17,resid_pre,3.875,4.3125,-0.4375
18,resid_pre,3.875,4.3125,-0.4375
19,resid_pre,3.875,4.375,-0.5
20,resid_pre,3.875,4.4375,-0.5625
21,resid_pre,3.875,4.375,-0.5
22,resid_pre,3.875,4.5,-0.625
23,resid_pre,3.875,4.5,-0.625
24,resid_pre,3.875,4.4375,-0.5625
25,resid_pre,3.875,4.5,-0.625
26,resid_pre,3.875,4.5,-0.625
27,resid_pre,3.875,4.5,-0.625
28,resid_pre,3.875,4.5,-0.625
29,resid_pre,3.875,4.4375,-0.5625
30,resid_pre,3.875,4.4375,-0.5625
31,resid_pre,3.875,4.4375,-0.5625
