sample_idx,n_sentences,kappa5_judge_vs_daniel,agree5_judge_vs_daniel,kappa2_judge_vs_daniel,agree2_judge_vs_daniel,kappa5_judge_vs_hannah,agree5_judge_vs_hannah,kappa2_judge_vs_hannah,agree2_judge_vs_hannah,kappa5_judge_vs_rashika_bahl,agree5_judge_vs_rashika_bahl,kappa2_judge_vs_rashika_bahl,agree2_judge_vs_rashika_bahl,kappa5_daniel_vs_hannah,agree5_daniel_vs_hannah,kappa2_daniel_vs_hannah,agree2_daniel_vs_hannah,kappa5_daniel_vs_rashika_bahl,agree5_daniel_vs_rashika_bahl,kappa2_daniel_vs_rashika_bahl,agree2_daniel_vs_rashika_bahl,kappa5_hannah_vs_rashika_bahl,agree5_hannah_vs_rashika_bahl,kappa2_hannah_vs_rashika_bahl,agree2_hannah_vs_rashika_bahl
0,20,-0.0411,0.7895,-0.0857,0.7895,-0.0753,0.75,-0.1364,0.75,0.0769,0.7,0.1667,0.75,0.4412,0.8421,0.6042,0.8947,-0.1271,0.6316,-0.2202,0.6316,0.1429,0.7,0.0769,0.7
1,18,0.1429,0.5556,0.16,0.6111,-0.0213,0.5556,0.0,0.6111,0.1818,0.6111,0.2174,0.6667,0.7188,0.8333,0.7692,0.8889,0.64,0.7778,0.6582,0.8333,0.5028,0.7222,0.64,0.8333
2,27,0.5068,0.8519,0.6087,0.8889,0.6376,0.9259,1.0,1.0,0.5888,0.8889,0.7097,0.9259,0.2603,0.7778,0.6087,0.8889,0.6873,0.8889,0.8861,0.963,0.3182,0.8148,0.7097,0.9259
3,25,0.5223,0.88,0.8344,0.96,0.4444,0.88,0.6212,0.92,0.2268,0.88,0.4681,0.92,0.2038,0.8,0.5033,0.88,0.1736,0.84,0.359,0.88,0.2268,0.88,0.4681,0.92
4,26,0.2676,0.8462,0.2571,0.8462,0.1613,0.7692,0.1136,0.7692,0.4621,0.8846,0.6286,0.9231,0.6389,0.9231,0.6286,0.9231,0.4694,0.9231,0.4583,0.9231,0.2877,0.8462,0.2571,0.8462
5,22,0.3265,0.8636,0.3265,0.8636,-0.0577,0.7727,-0.1224,0.7727,0.4569,0.8571,0.6182,0.9048,-0.0476,0.8182,-0.1,0.8182,0.2759,0.8095,0.2364,0.8095,-0.0957,0.7143,-0.1455,0.7143
6,21,0.2881,0.8095,0.6182,0.9048,0.0455,0.7143,0.1463,0.7619,0.1544,0.7143,0.3824,0.8095,0.3571,0.8571,0.3226,0.8571,0.4569,0.8571,0.6182,0.9048,0.0597,0.7143,0.1463,0.7619
7,22,0.3125,0.9091,0.6452,0.9545,0.0,0.9091,0.0,0.9091,0.1538,0.8182,0.3265,0.8636,0.0,0.9545,0.0,0.9545,0.2235,0.8636,0.4634,0.9091,0.0,0.8636,0.0,0.8636
8,23,0.3195,0.7826,0.7013,0.913,0.0,0.7826,0.0,0.7826,0.5252,0.8636,0.8308,0.9545,0.0,0.8696,0.0,0.8696,0.4634,0.8636,1.0,1.0,0.0,0.8636,0.0,0.8636
9,21,0.2759,0.8095,0.2759,0.8095,0.2075,0.7143,0.2953,0.7619,0.2045,0.7619,0.1732,0.7619,0.1515,0.8095,0.3505,0.8571,0.65,0.9524,0.6441,0.9524,0.0948,0.7619,0.2364,0.8095
10,20,0.6262,0.9,1.0,1.0,0.5128,0.8421,0.8257,0.9474,0.4667,0.9,0.4595,0.9,0.8348,0.9474,0.8257,0.9474,0.4667,0.9,0.4595,0.9,0.3596,0.8421,0.3448,0.8421
11,25,,,,,-0.0417,0.92,-0.0417,0.92,0.4898,0.96,1.0,1.0,,,,,,,,,-0.0204,0.92,-0.0417,0.92
12,25,,,,,0.0,0.96,0.0,0.96,,1.0,,1.0,,,,,,,,,,1.0,,1.0
13,29,,,,,0.4727,0.931,0.4727,0.931,0.1714,0.8621,0.365,0.8966,,,,,,,,,0.383,0.8621,0.514,0.8966
14,22,,,,,0.3889,0.8182,0.3889,0.8182,0.1538,0.7273,0.3889,0.8182,,,,,,,,,0.4359,0.8182,0.6944,0.9091
15,27,,,,,0.0,0.9231,0.0,0.9231,0.0,0.9259,0.0,0.9259,,,,,,,,,0.22,0.8846,0.4583,0.9231
16,26,,,,,0.6533,0.9615,0.6486,0.9615,0.3067,0.9231,0.6486,0.9615,,,,,,,,,0.4902,0.9615,1.0,1.0
17,31,,,,,0.0,0.9677,0.0,0.9677,0.0,0.9677,0.0,0.9677,,,,,,,,,,1.0,,1.0
18,23,,,,,-0.0805,0.6957,-0.0805,0.6957,0.08,0.6522,0.2418,0.7391,,,,,,,,,0.3727,0.8696,0.3551,0.8696
19,20,,,,,-0.0638,0.75,-0.087,0.75,-0.0909,0.7,-0.1538,0.7,,,,,,,,,0.6491,0.95,0.6429,0.95
20,22,,,,,0.2143,0.7273,0.3038,0.7727,0.2222,0.7619,0.4878,0.8571,,,,,,,,,0.0948,0.7619,0.2222,0.8095
21,23,,,,,-0.0698,0.8261,-0.0698,0.8261,0.1085,0.7826,0.2333,0.8261,,,,,,,,,0.2247,0.8696,0.4651,0.913
22,19,,,,,0.0526,0.6667,0.0526,0.6667,-0.0472,0.6316,0.0656,0.6842,,,,,,,,,0.6129,0.8889,0.6,0.8889
23,24,,,,,0.1628,0.625,0.2632,0.7083,0.0725,0.6667,0.0,0.6667,,,,,,,,,0.2398,0.7083,0.1923,0.7083
24,20,,,,,0.2647,0.75,0.3846,0.8,,,,,,,,,,,,,,,,
25,21,,,,,0.3588,0.8095,0.4878,0.8571,,,,,,,,,,,,,,,,
26,32,,,,,0.2889,0.875,0.2727,0.875,,,,,,,,,,,,,,,,
27,24,,,,,0.0059,0.7083,0.1111,0.75,,,,,,,,,,,,,,,,
28,20,,,,,0.2982,0.7,0.4937,0.8,,,,,,,,,,,,,,,,
29,18,,,,,0.0769,0.6667,0.2105,0.7222,,,,,,,,,,,,,,,,
30,28,,,,,0.0,0.8696,0.0,0.8696,,,,,,,,,,,,,,,,
31,18,,,,,0.0,0.7778,0.0,0.7778,,,,,,,,,,,,,,,,
32,23,,,,,0.0,0.9565,0.0,0.9565,,,,,,,,,,,,,,,,
