sample_idx,status,mean_u,max_u,high_u_frac,K_actual,notes_scored,n_sentences_first_ref,comparisons
0,ok,0.2711,0.986,0.1301,10.0,10.0,25.0,90.0
1,ok,0.3765,0.9987,0.2444,10.0,10.0,22.0,90.0
2,ok,0.2059,0.7394,0.0262,10.0,10.0,31.0,90.0
3,ok,0.3615,0.9996,0.2215,10.0,10.0,29.0,90.0
4,ok,0.2403,0.856,0.0912,10.0,10.0,30.0,90.0
5,ok,0.2602,0.9775,0.0986,10.0,10.0,27.0,90.0
6,ok,0.3105,1.0,0.1423,10.0,10.0,25.0,90.0
7,ok,0.23,0.995,0.0453,10.0,10.0,26.0,90.0
8,ok,0.2987,0.9979,0.1148,10.0,10.0,27.0,90.0
9,ok,0.2964,0.9245,0.1308,10.0,10.0,25.0,90.0
10,ok,0.2883,0.9999,0.1025,10.0,10.0,24.0,90.0
11,ok,0.308,0.9629,0.085,10.0,10.0,29.0,90.0
12,ok,0.3619,0.9335,0.1718,10.0,10.0,30.0,90.0
13,ok,0.3083,0.9571,0.1203,10.0,10.0,37.0,90.0
14,ok,0.2771,0.8749,0.0687,10.0,10.0,26.0,90.0
15,ok,0.3125,0.9999,0.1367,10.0,10.0,31.0,90.0
16,ok,0.246,0.972,0.0805,10.0,10.0,29.0,90.0
17,ok,0.313,0.9258,0.1543,10.0,10.0,40.0,90.0
18,ok,0.2862,0.9994,0.0445,10.0,10.0,27.0,90.0
19,ok,0.3682,0.9998,0.161,10.0,10.0,24.0,90.0
20,ok,0.2516,1.0,0.0582,10.0,10.0,28.0,90.0
21,ok,0.2656,0.9917,0.0929,10.0,10.0,27.0,90.0
22,ok,0.2695,1.0,0.0403,10.0,10.0,23.0,90.0
23,ok,0.2903,0.9335,0.0934,10.0,10.0,28.0,90.0
24,ok,0.1693,0.9394,0.0108,10.0,10.0,24.0,90.0
25,ok,0.257,1.0,0.0502,10.0,10.0,25.0,90.0
26,ok,0.28,0.772,0.079,10.0,10.0,43.0,90.0
27,ok,0.3284,0.9623,0.2094,10.0,10.0,28.0,90.0
28,ok,0.2826,0.9989,0.1197,10.0,10.0,24.0,90.0
29,ok,0.3593,0.9226,0.1326,10.0,10.0,22.0,90.0
30,ok,0.3118,0.9992,0.1007,10.0,10.0,39.0,90.0
31,ok,0.2962,1.0,0.076,10.0,10.0,22.0,90.0
32,ok,0.2696,0.7923,0.0804,10.0,10.0,27.0,90.0
33,ok,0.3126,0.9997,0.1533,10.0,10.0,31.0,90.0
34,ok,0.279,0.9998,0.1341,10.0,10.0,26.0,90.0
35,ok,0.2507,0.8126,0.0925,10.0,10.0,31.0,90.0
36,ok,0.3022,1.0,0.1255,10.0,10.0,26.0,90.0
37,ok,0.2923,0.9647,0.0981,10.0,10.0,29.0,90.0
38,ok,0.2143,0.8448,0.0415,10.0,10.0,28.0,90.0
39,ok,0.3076,0.9998,0.1529,10.0,10.0,32.0,90.0
40,ok,0.3792,0.9707,0.2189,10.0,10.0,23.0,90.0
41,ok,0.2841,0.9605,0.119,10.0,10.0,24.0,90.0
42,ok,0.3074,0.991,0.0969,10.0,10.0,22.0,90.0
43,ok,0.2985,0.9736,0.125,10.0,10.0,29.0,90.0
44,no_generations,,,,,,,
45,no_generations,,,,,,,
46,no_generations,,,,,,,
47,no_generations,,,,,,,
48,no_generations,,,,,,,
49,no_generations,,,,,,,
50,no_generations,,,,,,,
51,no_generations,,,,,,,
52,no_generations,,,,,,,
53,no_generations,,,,,,,
54,no_generations,,,,,,,
55,no_generations,,,,,,,
56,no_generations,,,,,,,
57,no_generations,,,,,,,
58,no_generations,,,,,,,
59,no_generations,,,,,,,
60,no_generations,,,,,,,
61,no_generations,,,,,,,
62,no_generations,,,,,,,
63,no_generations,,,,,,,
64,no_generations,,,,,,,
65,no_generations,,,,,,,
66,no_generations,,,,,,,
67,no_generations,,,,,,,
68,no_generations,,,,,,,
69,no_generations,,,,,,,
70,no_generations,,,,,,,
71,no_generations,,,,,,,
72,no_generations,,,,,,,
73,no_generations,,,,,,,
74,no_generations,,,,,,,
75,no_generations,,,,,,,
76,no_generations,,,,,,,
77,no_generations,,,,,,,
78,no_generations,,,,,,,
79,no_generations,,,,,,,
80,no_generations,,,,,,,
81,no_generations,,,,,,,
82,no_generations,,,,,,,
83,no_generations,,,,,,,
84,no_generations,,,,,,,
85,no_generations,,,,,,,
86,no_generations,,,,,,,
87,no_generations,,,,,,,
88,no_generations,,,,,,,
89,no_generations,,,,,,,
90,no_generations,,,,,,,
91,no_generations,,,,,,,
92,no_generations,,,,,,,
93,no_generations,,,,,,,
94,no_generations,,,,,,,
95,no_generations,,,,,,,
96,no_generations,,,,,,,
97,no_generations,,,,,,,
98,no_generations,,,,,,,
99,no_generations,,,,,,,
100,no_generations,,,,,,,
101,no_generations,,,,,,,
102,no_generations,,,,,,,
103,no_generations,,,,,,,
104,no_generations,,,,,,,
105,no_generations,,,,,,,
106,no_generations,,,,,,,
107,no_generations,,,,,,,
108,no_generations,,,,,,,
109,no_generations,,,,,,,
110,no_generations,,,,,,,
111,no_generations,,,,,,,
112,no_generations,,,,,,,
113,no_generations,,,,,,,
114,no_generations,,,,,,,
115,no_generations,,,,,,,
116,no_generations,,,,,,,
117,no_generations,,,,,,,
118,no_generations,,,,,,,
119,no_generations,,,,,,,
120,no_generations,,,,,,,
121,no_generations,,,,,,,
122,no_generations,,,,,,,
123,no_generations,,,,,,,
124,no_generations,,,,,,,
125,no_generations,,,,,,,
126,no_generations,,,,,,,
127,no_generations,,,,,,,
128,no_generations,,,,,,,
129,no_generations,,,,,,,
130,no_generations,,,,,,,
131,no_generations,,,,,,,
