sample_idx,status,K_actual,notes_scored,mean_faithfulness,n_transcript_facts
0,ok,10.0,3.0,0.7849,57.0
1,ok,10.0,3.0,0.7331,48.0
2,ok,10.0,3.0,0.7874,56.0
3,ok,10.0,3.0,0.8636,68.0
4,ok,10.0,3.0,0.8247,67.0
5,ok,10.0,3.0,0.7671,73.0
6,ok,10.0,3.0,0.7893,56.0
7,ok,10.0,3.0,0.857,54.0
8,ok,10.0,3.0,0.8305,49.0
9,ok,10.0,3.0,0.7924,55.0
10,ok,10.0,3.0,0.7756,59.0
11,ok,10.0,3.0,0.8687,64.0
12,ok,10.0,3.0,0.9339,64.0
13,ok,10.0,3.0,0.8785,67.0
14,ok,10.0,3.0,0.8635,67.0
15,ok,10.0,3.0,0.7755,67.0
16,ok,10.0,3.0,0.8496,69.0
17,ok,10.0,3.0,0.8661,66.0
18,ok,10.0,3.0,0.7638,47.0
19,ok,10.0,3.0,0.6922,46.0
20,ok,10.0,3.0,0.8209,52.0
21,ok,10.0,3.0,0.7465,64.0
22,ok,10.0,3.0,0.7178,52.0
23,ok,10.0,3.0,0.7668,61.0
24,ok,10.0,3.0,0.8391,63.0
25,ok,10.0,3.0,0.8246,50.0
26,ok,10.0,3.0,0.7727,73.0
27,ok,10.0,3.0,0.7761,60.0
28,ok,10.0,3.0,0.8136,50.0
29,ok,10.0,3.0,0.7221,50.0
30,ok,10.0,3.0,0.8264,60.0
31,ok,10.0,3.0,0.8769,52.0
32,ok,10.0,3.0,0.842,61.0
33,ok,10.0,3.0,0.8368,66.0
34,ok,10.0,3.0,0.8536,70.0
35,ok,10.0,3.0,0.8121,67.0
36,ok,10.0,3.0,0.7358,56.0
37,ok,10.0,3.0,0.8156,67.0
38,ok,10.0,3.0,0.9311,95.0
39,ok,10.0,3.0,0.8451,72.0
40,ok,10.0,3.0,0.6828,64.0
41,ok,10.0,3.0,0.8145,70.0
42,ok,10.0,3.0,0.8376,61.0
43,ok,10.0,3.0,0.8124,64.0
44,no_generations,,,,
45,no_generations,,,,
46,no_generations,,,,
47,no_generations,,,,
48,no_generations,,,,
49,no_generations,,,,
50,no_generations,,,,
51,no_generations,,,,
52,no_generations,,,,
53,no_generations,,,,
54,no_generations,,,,
55,no_generations,,,,
56,no_generations,,,,
57,no_generations,,,,
58,no_generations,,,,
59,no_generations,,,,
60,no_generations,,,,
61,no_generations,,,,
62,no_generations,,,,
63,no_generations,,,,
64,no_generations,,,,
65,no_generations,,,,
66,no_generations,,,,
67,no_generations,,,,
68,no_generations,,,,
69,no_generations,,,,
70,no_generations,,,,
71,no_generations,,,,
72,no_generations,,,,
73,no_generations,,,,
74,no_generations,,,,
75,no_generations,,,,
76,no_generations,,,,
77,no_generations,,,,
78,no_generations,,,,
79,no_generations,,,,
80,no_generations,,,,
81,no_generations,,,,
82,no_generations,,,,
83,no_generations,,,,
84,no_generations,,,,
85,no_generations,,,,
86,no_generations,,,,
87,no_generations,,,,
88,no_generations,,,,
89,no_generations,,,,
90,no_generations,,,,
91,no_generations,,,,
92,no_generations,,,,
93,no_generations,,,,
94,no_generations,,,,
95,no_generations,,,,
96,no_generations,,,,
97,no_generations,,,,
98,no_generations,,,,
99,no_generations,,,,
100,no_generations,,,,
101,no_generations,,,,
102,no_generations,,,,
103,no_generations,,,,
104,no_generations,,,,
105,no_generations,,,,
106,no_generations,,,,
107,no_generations,,,,
108,no_generations,,,,
109,no_generations,,,,
110,no_generations,,,,
111,no_generations,,,,
112,no_generations,,,,
113,no_generations,,,,
114,no_generations,,,,
115,no_generations,,,,
116,no_generations,,,,
117,no_generations,,,,
118,no_generations,,,,
119,no_generations,,,,
120,no_generations,,,,
121,no_generations,,,,
122,no_generations,,,,
123,no_generations,,,,
124,no_generations,,,,
125,no_generations,,,,
126,no_generations,,,,
127,no_generations,,,,
128,no_generations,,,,
129,no_generations,,,,
130,no_generations,,,,
131,no_generations,,,,
