sample_idx,n_facts,mean_u,high_u_frac
0,153,0.3926,0.3791
1,137,0.4062,0.3869
2,206,0.388,0.3738
3,211,0.4629,0.4028
4,211,0.3427,0.3081
5,204,0.2915,0.2353
6,178,0.3495,0.3652
7,173,0.3644,0.3237
8,159,0.2753,0.2327
9,163,0.2888,0.2577
10,167,0.4809,0.4491
11,239,0.405,0.3808
12,192,0.4363,0.3802
13,195,0.4154,0.4256
14,176,0.4131,0.358
15,224,0.3382,0.2634
16,213,0.3466,0.3052
17,215,0.3135,0.2884
18,148,0.3974,0.3311
19,204,0.5486,0.5245
20,189,0.3854,0.3333
21,192,0.4456,0.4531
22,156,0.346,0.3141
23,181,0.455,0.453
24,186,0.3421,0.2903
25,180,0.3479,0.2889
26,247,0.3784,0.3441
27,198,0.3273,0.3131
28,199,0.4719,0.5075
29,176,0.5043,0.5341
30,204,0.4245,0.4167
31,169,0.2794,0.213
32,221,0.3803,0.3258
33,189,0.4202,0.3545
34,211,0.4456,0.4265
35,222,0.3481,0.3468
36,163,0.3879,0.3497
37,210,0.3506,0.2667
38,208,0.3304,0.2788
39,221,0.2913,0.2262
40,141,0.4126,0.3972
41,174,0.5162,0.4425
42,176,0.4858,0.483
43,167,0.3277,0.2814
