sample_idx,n_sentences,halluc_rate,n_fabrication,n_causality,n_negation,n_contextual,n_faithful
0,21,0.1429,2,1,0,0,18
1,18,0.1667,2,0,0,1,15
2,27,0.1111,2,1,0,0,24
3,25,0.12,3,0,0,0,22
4,26,0.1538,3,1,0,0,22
5,24,0.1667,4,0,0,0,20
6,21,0.1905,2,1,0,1,17
7,22,0.0909,2,0,0,0,20
8,23,0.2174,4,1,0,0,18
9,22,0.2727,6,0,0,0,16
10,21,0.1905,3,1,0,0,17
11,25,0.04,1,0,0,0,24
12,27,0.0741,2,0,0,0,25
13,37,0.027,1,0,0,0,36
14,22,0.1818,4,0,0,0,18
15,28,0.0357,1,0,0,0,27
16,27,0.1111,2,1,0,0,24
17,35,0.0286,0,1,0,0,34
18,23,0.2609,6,0,0,0,17
19,20,0.2,2,0,0,2,16
20,38,0.5263,20,0,0,0,18
21,24,0.1667,4,0,0,0,20
22,19,0.2632,5,0,0,0,14
23,25,0.28,4,3,0,0,18
24,21,0.1905,3,1,0,0,17
25,22,0.1818,3,1,0,0,18
26,34,0.0882,3,0,0,0,31
27,25,0.16,3,0,0,1,21
28,21,0.1905,3,1,0,0,17
29,18,0.3333,3,0,0,3,12
30,31,0.129,4,0,0,0,27
31,18,0.2222,4,0,0,0,14
32,23,0.0435,1,0,0,0,22
33,28,0.1429,3,0,0,1,24
34,22,0.0,0,0,0,0,22
35,27,0.0741,2,0,0,0,25
36,22,0.1818,1,0,0,3,18
37,25,0.08,2,0,0,0,23
38,24,0.125,2,1,0,0,21
39,28,0.1071,3,0,0,0,25
40,20,0.45,5,2,0,2,11
41,21,0.2381,4,1,0,0,16
42,19,0.1579,2,1,0,0,16
43,25,0.28,7,0,0,0,18
