sample_idx,note_idx,citation,accurate,thorough,useful,organized,comprehensible,succinct,abstraction,synthesized,voice_summ,voice_note,n_invalid,pdsqi9_likert_mean
0,0,,,,,,,,,,,,11,
0,1,1.0,2.0,1.0,2.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,2.857
0,2,1.0,2.0,3.0,4.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.429
0,3,1.0,4.0,3.0,5.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.857
0,4,1.0,2.0,1.0,2.0,5.0,5.0,3.0,1.0,4.0,0.0,0.0,0,2.714
1,0,1.0,2.0,1.0,3.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.0
1,1,1.0,2.0,3.0,4.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.429
1,2,1.0,4.0,3.0,5.0,5.0,5.0,5.0,1.0,4.0,0.0,0.0,0,4.0
1,3,1.0,2.0,1.0,3.0,5.0,5.0,5.0,1.0,4.0,0.0,0.0,0,3.143
1,4,1.0,4.0,3.0,5.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.857
2,0,1.0,5.0,3.0,5.0,5.0,5.0,4.0,1.0,5.0,0.0,0.0,0,4.0
2,1,1.0,5.0,3.0,5.0,5.0,5.0,5.0,1.0,5.0,0.0,0.0,0,4.143
2,2,1.0,2.0,3.0,4.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.429
2,3,1.0,5.0,4.0,5.0,5.0,5.0,4.0,1.0,5.0,0.0,0.0,0,4.143
2,4,1.0,5.0,3.0,5.0,5.0,5.0,4.0,1.0,5.0,0.0,0.0,0,4.0
3,0,1.0,4.0,3.0,5.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.857
3,1,1.0,3.0,3.0,5.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.714
3,2,1.0,5.0,3.0,5.0,5.0,5.0,4.0,1.0,5.0,0.0,0.0,0,4.0
3,3,1.0,2.0,3.0,4.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.429
3,4,1.0,2.0,2.0,4.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.286
4,0,1.0,4.0,3.0,5.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.857
4,1,1.0,5.0,3.0,5.0,5.0,5.0,4.0,1.0,5.0,0.0,0.0,0,4.0
4,2,1.0,5.0,3.0,5.0,5.0,5.0,4.0,1.0,5.0,0.0,0.0,0,4.0
4,3,1.0,5.0,3.0,5.0,5.0,5.0,4.0,1.0,5.0,0.0,0.0,0,4.0
4,4,1.0,5.0,3.0,5.0,5.0,5.0,4.0,1.0,5.0,0.0,0.0,0,4.0
5,0,1.0,4.0,3.0,5.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.857
5,1,1.0,5.0,3.0,5.0,5.0,5.0,5.0,1.0,5.0,0.0,0.0,0,4.143
5,2,1.0,2.0,2.0,4.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.286
5,3,1.0,5.0,3.0,5.0,5.0,5.0,5.0,1.0,5.0,0.0,0.0,0,4.143
5,4,1.0,2.0,1.0,3.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.0
6,0,1.0,4.0,3.0,4.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.714
6,1,1.0,4.0,3.0,4.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.714
6,2,1.0,5.0,3.0,5.0,5.0,5.0,4.0,1.0,5.0,0.0,0.0,0,4.0
6,3,1.0,3.0,2.0,4.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.429
6,4,1.0,2.0,2.0,4.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.286
7,0,1.0,5.0,3.0,5.0,5.0,5.0,5.0,1.0,5.0,0.0,0.0,0,4.143
7,1,1.0,4.0,3.0,5.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.857
7,2,1.0,2.0,1.0,2.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,2.857
7,3,1.0,2.0,1.0,3.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.0
7,4,1.0,5.0,3.0,5.0,5.0,5.0,4.0,1.0,5.0,0.0,0.0,0,4.0
8,0,1.0,4.0,3.0,4.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.714
8,1,1.0,5.0,3.0,5.0,5.0,5.0,5.0,1.0,5.0,0.0,0.0,0,4.143
8,2,1.0,4.0,3.0,4.0,5.0,5.0,4.0,1.0,4.0,0.0,0.0,0,3.714
8,3,1.0,4.0,3.0,5.0,5.0,5.0,5.0,1.0,4.0,0.0,0.0,0,4.0
8,4,1.0,5.0,3.0,5.0,5.0,5.0,4.0,1.0,5.0,0.0,0.0,0,4.0
