layer,granularity,m_corrupted,m_patched,delta_restore
0,resid_pre,3.875,3.875,0.0
1,resid_pre,3.875,4.0,-0.125
2,resid_pre,3.875,3.875,0.0
3,resid_pre,3.875,4.0,-0.125
4,resid_pre,3.875,3.875,0.0
5,resid_pre,3.875,3.8125,0.0625
6,resid_pre,3.875,4.0,-0.125
7,resid_pre,3.875,3.875,0.0
8,resid_pre,3.875,3.8125,0.0625
9,resid_pre,3.875,3.875,0.0
10,resid_pre,3.875,3.8125,0.0625
11,resid_pre,3.875,3.875,0.0
12,resid_pre,3.875,3.875,0.0
13,resid_pre,3.875,3.9375,-0.0625
14,resid_pre,3.875,3.9375,-0.0625
15,resid_pre,3.875,4.0625,-0.1875
16,resid_pre,3.875,4.1875,-0.3125
17,resid_pre,3.875,4.3125,-0.4375
18,resid_pre,3.875,4.375,-0.5
19,resid_pre,3.875,4.5625,-0.6875
20,resid_pre,3.875,4.5625,-0.6875
21,resid_pre,3.875,4.6875,-0.8125
22,resid_pre,3.875,4.75,-0.875
23,resid_pre,3.875,4.625,-0.75
24,resid_pre,3.875,4.625,-0.75
25,resid_pre,3.875,4.6875,-0.8125
26,resid_pre,3.875,4.6875,-0.8125
27,resid_pre,3.875,4.75,-0.875
28,resid_pre,3.875,4.6875,-0.8125
29,resid_pre,3.875,4.625,-0.75
30,resid_pre,3.875,4.625,-0.75
31,resid_pre,3.875,4.6875,-0.8125
