fold,model,n_test_samples,n_test_words,n_test_hallu,auroc,pr_auc,brier,accuracy,balanced_accuracy,majority_baseline_acc,precision,recall,f1
0,full_logreg,3,5590,204,0.8253305592567514,0.21782883682112356,0.15468453062501597,0.784257602862254,0.7324053646709334,0.9635062611806798,0.107981220657277,0.6764705882352942,0.1862348178137652
0,full_hgb,3,5590,204,0.8137555244897812,0.3028197747014836,0.09875004863230383,0.8937388193202147,0.7161167660528749,0.9635062611806798,0.1771523178807947,0.5245098039215687,0.26485148514851486
0,baseline_ecs,3,5590,204,0.614228155057047,0.0918549058632935,0.233957706215614,0.5914132379248659,0.5733774200359684,0.9635062611806798,0.049002601908065914,0.553921568627451,0.0900398406374502
0,baseline_ecscopy,3,5590,204,0.6039068245196334,0.08945149426276594,0.23331954034511732,0.5919499105545617,0.5830885083331513,0.9635062611806798,0.05062743401125054,0.5735294117647058,0.09304174950298211
0,baseline_pks,3,5590,204,0.5992032720997794,0.050335623689697254,0.22723785717494635,0.6964221824686941,0.5854239022010587,0.9635062611806798,0.056446821152703504,0.46568627450980393,0.10068892421833599
1,full_logreg,3,4892,239,0.8365395250466025,0.2103214847859205,0.17259802834565222,0.7557236304170074,0.7525126633557151,0.9511447260834015,0.13622526636225266,0.7489539748953975,0.23052157115260785
1,full_hgb,3,4892,239,0.8392030336301679,0.2827641809836208,0.12545864691044742,0.8585445625511039,0.747026033503377,0.9511447260834015,0.19840213049267644,0.6234309623430963,0.301010101010101
1,baseline_ecs,3,4892,239,0.5622817689941344,0.08132236591419134,0.23824235755286674,0.5725674570727719,0.5232629868524108,0.9511447260834015,0.05394990366088632,0.4686192468619247,0.09676025917926566
1,baseline_ecscopy,3,4892,239,0.5653589217196446,0.0922408026520839,0.23634357217949192,0.5823793949304987,0.528420949457182,0.9511447260834015,0.055226824457593686,0.4686192468619247,0.09880899867666519
1,baseline_pks,3,4892,239,0.6421096930310854,0.07934878172015752,0.22543517381264255,0.6858135731807032,0.5887482498806277,0.9511447260834015,0.07526178010471204,0.4811715481171548,0.13016411997736277
2,full_logreg,3,4541,200,0.7690566689702832,0.14030630865823124,0.18207111419845892,0.7458709535344638,0.6882198802119328,0.955956837700947,0.10382059800664452,0.625,0.17806267806267806
2,full_hgb,3,4541,200,0.7989161483529141,0.2088146444085608,0.14633001074275162,0.8134772076635103,0.7307348537203409,0.955956837700947,0.14174972314507198,0.64,0.23209428830462375
2,baseline_ecs,3,4541,200,0.59856599861783,0.08596338405752824,0.24325505925829374,0.5571460030830213,0.5632768947247178,0.955956837700947,0.05590975968612065,0.57,0.10183117463153193
2,baseline_ecscopy,3,4541,200,0.6162255240727943,0.08945893083892396,0.24172282251034233,0.5595683770094693,0.5764679797281732,0.955956837700947,0.058390578999018644,0.595,0.1063449508489723
2,baseline_pks,3,4541,200,0.6264731628656991,0.07038109355629732,0.23775039591982366,0.6335608896718784,0.5817812715964064,0.955956837700947,0.06272401433691756,0.525,0.11205976520811099
3,full_logreg,3,5212,323,0.6644264276853262,0.13971015596788805,0.19793927964939914,0.7020337682271681,0.6170878961869921,0.9380276285495012,0.10727969348659004,0.5201238390092879,0.17787188988883007
3,full_hgb,3,5212,323,0.733383275907816,0.2090164908239341,0.14468038251879897,0.8186876438986953,0.6662568462594046,0.9380276285495012,0.16914893617021276,0.49226006191950467,0.2517814726840855
3,baseline_ecs,3,5212,323,0.6122925858074011,0.11048231625861502,0.23046458195104857,0.6084036838066001,0.5700713739759503,0.9380276285495012,0.0826044703595724,0.5263157894736842,0.14279714405711885
3,baseline_ecscopy,3,5212,323,0.6174985609319461,0.11782311278081961,0.23048271891598712,0.6059094397544129,0.5716332931639676,0.9380276285495012,0.08289156626506024,0.5325077399380805,0.14345287739783152
3,baseline_pks,3,5212,323,0.6687097527969214,0.10220312609982812,0.23413195007657525,0.6410207214121258,0.6091431006739714,0.9380276285495012,0.09645464025026068,0.5727554179566563,0.1651048639000446
4,full_logreg,3,5204,222,0.7618598124419079,0.16385747366062417,0.2083880384365318,0.7042659492697925,0.7056710463976622,0.9573405073020753,0.09625996321275292,0.7072072072072072,0.16945493793847816
4,full_hgb,3,5204,222,0.8193415213688197,0.21820075483245835,0.1211689576670892,0.8537663335895465,0.7234991916846594,0.9573405073020753,0.1618569636135508,0.581081081081081,0.25318940137389595
4,baseline_ecs,3,5204,222,0.6016406812271927,0.07486578528420931,0.23402780723712943,0.5787855495772483,0.5583632608923657,0.9573405073020753,0.05389492753623189,0.536036036036036,0.09794238683127572
4,baseline_ecscopy,3,5204,222,0.5944924249821881,0.07502311703310552,0.2351479983311525,0.5759031514219831,0.5719210780431174,0.9573405073020753,0.05632543585158695,0.5675675675675675,0.1024806832045547
4,baseline_pks,3,5204,222,0.6507829085609094,0.06820921891345408,0.24172157875490527,0.6149116064565718,0.6095095496942144,0.9573405073020753,0.06536585365853659,0.6036036036036037,0.11795774647887323
5,full_logreg,3,5214,94,0.8666742852393617,0.3254049996494341,0.14494592893793784,0.8147295742232451,0.7960127160904256,0.9819716148830073,0.07170923379174853,0.776595744680851,0.13129496402877697
5,full_hgb,3,5214,94,0.9065845246010639,0.4650344451600294,0.12044401831027679,0.8590333716915995,0.8185713098404255,0.9819716148830073,0.09275730622617535,0.776595744680851,0.16572077185017026
5,baseline_ecs,3,5214,94,0.7693795711436171,0.13262831999832692,0.23863634562501454,0.5769083237437668,0.6435900099734042,0.9819716148830073,0.02983081032947462,0.7127659574468085,0.05726495726495726
5,baseline_ecscopy,3,5214,94,0.7614818816489362,0.13780375932035255,0.23770320548714438,0.5916762562332183,0.6981029753989361,0.9819716148830073,0.03475080018289895,0.8085106382978723,0.06663743971942131
5,baseline_pks,3,5214,94,0.7252306349734042,0.041267393275202326,0.23206894888707538,0.6758726505561948,0.6835376496010639,0.9819716148830073,0.03765932792584009,0.6914893617021277,0.07142857142857142
6,full_logreg,3,4789,267,0.8050446671868039,0.25637295841109375,0.17977076657981927,0.7462935894758822,0.7352622302617084,0.9442472332428482,0.1446776611694153,0.7228464419475655,0.2410993129294191
6,full_hgb,3,4789,267,0.8353273302224496,0.33415265719814113,0.13491942684249,0.8360826894967635,0.7581383233364309,0.9442472332428482,0.204337899543379,0.6704119850187266,0.3132108486439195
6,baseline_ecs,3,4789,267,0.6579626528316826,0.1608060135339714,0.2361834100891177,0.5775736061808311,0.5736755967910523,0.9442472332428482,0.07378640776699029,0.5692883895131086,0.13064030941125912
6,baseline_ecscopy,3,4789,267,0.6572404242595915,0.1593473959991906,0.23855205476191493,0.569221131760284,0.5974461931431354,0.9442472332428482,0.07879924953095685,0.6292134831460674,0.14005835764902042
6,baseline_pks,3,4789,267,0.699127196709553,0.10731678914293971,0.2304997933094493,0.6738358738776362,0.6387453266344977,0.9442472332428482,0.09907120743034056,0.599250936329588,0.17003188097768332
7,full_logreg,3,5501,180,0.8249754640940508,0.22325783242663755,0.16731412847639,0.7644064715506271,0.7332926141702687,0.9672786766042538,0.09210526315789473,0.7,0.16279069767441862
7,full_hgb,3,5501,180,0.8464913654492681,0.3676875963054378,0.11414900466232039,0.8723868387565897,0.7622710852178998,0.9672786766042538,0.15384615384615385,0.6444444444444445,0.24839400428265523
7,baseline_ecs,3,5501,180,0.6459823759109606,0.11310198853963023,0.23765686478246456,0.5798945646246138,0.5869234062101945,0.9672786766042538,0.04562899786780384,0.5944444444444444,0.08475247524752476
7,baseline_ecscopy,3,5501,180,0.6458153229342856,0.11804715072986426,0.23809207169938745,0.5677149609161971,0.5913628390653386,0.9672786766042538,0.045867768595041325,0.6166666666666667,0.08538461538461538
7,baseline_pks,3,5501,180,0.6684645743281339,0.05543460450460707,0.23513970719768368,0.6631521541537903,0.6165413769341602,0.9672786766042538,0.05434203516249334,0.5666666666666667,0.09917355371900827
8,full_logreg,3,4772,359,0.7604052852202312,0.23502618416225857,0.19395007814592852,0.7219195305951384,0.6858783904480747,0.9247694886839899,0.16153846153846155,0.6434540389972145,0.2582448295136948
8,full_hgb,3,4772,359,0.7536810398752231,0.2934823130012893,0.1418815159668103,0.8178960603520536,0.6904306534188998,0.9247694886839899,0.21603563474387527,0.5403899721448467,0.30867143993635643
8,baseline_ecs,3,4772,359,0.6088222502898817,0.14515079628482092,0.23884930695292933,0.5792120704107293,0.5716157693116123,0.9247694886839899,0.09839259620068193,0.5626740947075209,0.16749585406301823
8,baseline_ecscopy,3,4772,359,0.6049422224915371,0.14418814630895066,0.2413986685767936,0.5662196144174351,0.5799445421762872,0.9247694886839899,0.10004675081813932,0.596100278551532,0.17133706965572457
