sample_idx,gen_idx,n_words,n_hallu,n_spans,n_matched,match_rate
0,0,331,14,3,3,1.0
0,1,316,40,5,5,1.0
0,2,247,19,6,6,1.0
0,3,319,28,4,4,1.0
0,4,336,27,4,4,1.0
1,0,251,23,4,4,1.0
1,1,321,40,6,6,1.0
1,2,232,9,3,3,1.0
1,3,230,23,4,4,1.0
1,4,221,3,2,2,1.0
2,0,391,13,3,3,1.0
2,1,378,15,2,2,1.0
2,2,319,36,4,4,1.0
2,3,375,32,3,3,1.0
2,4,301,11,2,2,1.0
3,0,344,18,3,3,1.0
3,1,414,9,3,3,1.0
3,2,306,7,3,3,1.0
3,3,404,16,4,4,1.0
3,4,355,15,3,3,1.0
4,0,430,10,4,4,1.0
4,1,385,28,4,4,1.0
4,2,378,19,3,3,1.0
4,3,422,9,4,4,1.0
4,4,357,7,4,4,1.0
5,0,289,34,4,4,1.0
5,1,340,25,5,5,1.0
5,2,325,26,5,5,1.0
5,3,306,39,6,6,1.0
5,4,393,15,1,1,1.0
6,0,344,22,2,2,1.0
6,1,333,7,4,4,1.0
6,2,337,2,1,1,1.0
6,3,358,26,3,3,1.0
6,4,344,26,3,3,1.0
7,0,342,7,2,2,1.0
7,1,385,0,0,0,
7,2,315,23,4,4,1.0
7,3,297,19,5,5,1.0
7,4,356,10,4,4,1.0
8,0,323,23,6,6,1.0
8,1,293,20,4,4,1.0
8,2,295,2,1,1,1.0
8,3,296,27,5,5,1.0
8,4,258,25,5,5,1.0
9,0,269,20,3,3,1.0
9,1,258,12,2,2,1.0
9,2,273,28,5,5,1.0
9,3,225,16,7,7,1.0
9,4,266,19,9,9,1.0
10,0,344,16,3,3,1.0
10,1,354,52,4,4,1.0
10,2,358,3,2,2,1.0
10,3,361,20,5,4,0.8
10,4,340,15,2,2,1.0
11,0,396,0,0,0,
11,1,420,17,2,2,1.0
11,2,394,4,1,1,1.0
11,3,352,4,2,2,1.0
11,4,327,16,2,2,1.0
12,0,374,4,1,1,1.0
12,1,276,7,1,1,1.0
12,2,352,4,1,1,1.0
12,3,287,17,3,3,1.0
12,4,444,8,1,1,1.0
13,0,361,10,2,2,1.0
13,1,330,12,2,2,1.0
13,2,324,14,3,3,1.0
13,3,234,3,1,1,1.0
13,4,265,5,1,1,1.0
14,0,328,13,5,5,1.0
14,1,280,24,3,3,1.0
14,2,325,27,5,5,1.0
14,3,292,16,4,4,1.0
14,4,360,29,2,2,1.0
15,0,399,0,0,0,
15,1,328,23,1,1,1.0
15,2,378,29,7,7,1.0
15,3,331,18,3,3,1.0
15,4,426,10,4,4,1.0
16,0,414,9,2,2,1.0
16,1,297,6,4,4,1.0
16,2,386,1,1,1,1.0
16,3,360,1,1,1,1.0
16,4,406,1,1,1,1.0
17,0,337,3,1,1,1.0
17,1,318,8,2,2,1.0
17,2,353,19,2,2,1.0
17,3,303,0,0,0,
17,4,420,3,1,1,1.0
18,0,302,14,5,5,1.0
18,1,265,24,3,3,1.0
18,2,253,28,5,5,1.0
18,3,314,0,0,0,
18,4,240,30,8,8,1.0
19,0,364,36,4,4,1.0
19,1,353,49,5,5,1.0
19,2,347,34,4,4,1.0
19,3,329,28,3,3,1.0
19,4,332,29,4,4,1.0
20,0,280,13,2,2,1.0
20,1,342,22,6,6,1.0
20,2,343,4,1,1,1.0
20,3,303,18,7,7,1.0
20,4,314,26,4,4,1.0
21,0,366,0,0,0,
21,1,355,30,5,5,1.0
21,2,394,10,3,3,1.0
21,3,410,0,0,0,
21,4,325,35,5,5,1.0
22,0,270,7,1,1,1.0
22,1,270,20,6,6,1.0
22,2,242,9,1,1,1.0
22,3,289,10,4,4,1.0
