layer,pks_cohens_d_content_only,ecs_copy_cohens_d_content_only
0,0.016577102191991048,
1,0.035984783879720934,
2,-0.18971773179858303,
3,-0.23786291728465797,0.3331967540262547
4,-0.22953823872525758,0.3856991742264862
5,-0.17441591656792782,0.3842922214356575
6,0.03341980707525664,0.5011630469772461
7,0.16389121539349208,0.5003603357797415
8,0.26258424491680243,0.47957154441335254
9,0.4418901365562815,0.49818452425902837
10,0.514716065553305,0.501866107689871
11,0.38190050127751635,0.5424878825895704
12,0.4538409227750987,0.4829773066210225
13,0.41415315959647847,0.5071623224650292
14,0.4328012032941105,0.4419425667226211
15,0.48542066210737056,0.4878451424383797
16,0.1939714296899181,0.4510735321677482
17,0.343233946854301,0.4886895867752627
18,0.10860444997069078,0.32571396043137074
19,0.2990092966012143,0.5261863880391913
20,0.09837456314396426,0.5128484228605928
21,0.012268600914467569,0.4723008778498712
22,0.038791293736365605,0.44512054368720283
23,0.024078679330349753,0.5188943525924036
24,-0.024681680364262677,0.4851571559039738
25,0.2149360722010875,0.4735381463353206
26,0.018670900060519816,0.5357400668812501
27,-0.0502946199721304,0.5054458798786747
28,0.06295624855679913,0.5095219513681385
29,0.058843286036837895,0.5237936621456383
30,0.2385741283287884,0.5161776178668698
31,0.43451434789263216,0.5010520859388695
