group,layer,ecs_auroc,ecs_copy_auroc,pks_auroc,n_group,n_faithful_cmp
Causality,0,0.5827229246670504,,0.5081909098413812,421,40628
Causality,1,0.5822805820354402,,0.5296114365506676,421,40628
Causality,2,0.5820194209813294,,0.4793701768224622,421,40628
Causality,3,0.5811901893245173,0.5818114918814985,0.49631009890561417,421,40628
Causality,4,0.5836454657132427,0.5834063457868238,0.4891665811135716,421,40628
Causality,5,0.5837468724399844,0.5786310506988032,0.48858550215301483,421,40628
Causality,6,0.5803068487454798,0.5775084440320226,0.5234165057527929,421,40628
Causality,7,0.5824947376076829,0.5821851094584618,0.5396175823420283,421,40628
Causality,8,0.5758949107094624,0.5749427866112485,0.5468584435759992,421,40628
Causality,9,0.5752790161214771,0.5747982038293332,0.555421977097339,421,40628
Causality,10,0.5725799426439578,0.5730572470643206,0.580465813801698,421,40628
Causality,11,0.5772250956888958,0.5779117615900669,0.5590406683945663,421,40628
Causality,12,0.5784805629993894,0.5758926598250694,0.5744034220926233,421,40628
Causality,13,0.5724055721841671,0.5765858152890357,0.5630636126823129,421,40628
Causality,14,0.5725935356471099,0.5712674724170196,0.556124896137763,421,40628
Causality,15,0.5729480060906009,0.5721175466786652,0.5981988949268456,421,40628
Causality,16,0.5745385043884645,0.5706859257402253,0.5815613221589688,421,40628
Causality,17,0.5733487512093388,0.5753507813316676,0.5371619843983895,421,40628
Causality,18,0.5737731452303351,0.5671158476994325,0.5548674702655249,421,40628
Causality,19,0.5756563461960755,0.5791111906488557,0.5131413938926082,421,40628
Causality,20,0.5729544079566016,0.5718804145462556,0.5495018880535217,421,40628
Causality,21,0.5740255950695226,0.5721710417233286,0.5220562992373652,421,40628
Causality,22,0.5722336864668879,0.5714451168904727,0.5020163831643669,421,40628
Causality,23,0.5725367373565192,0.5717879236602912,0.5305079024166196,421,40628
Causality,24,0.5726608283207795,0.5696215205127481,0.49892714664798293,421,40628
