split,sample_idx,gen_idx,n_words,n_hallu,n_spans,n_matched,match_rate
aci_test1,0,0,331,14,3,3,1.0
aci_test1,0,1,316,40,5,5,1.0
aci_test1,0,2,247,19,6,6,1.0
aci_test1,0,3,319,28,4,4,1.0
aci_test1,0,4,336,27,4,4,1.0
aci_test1,1,0,251,23,4,4,1.0
aci_test1,1,1,321,40,6,6,1.0
aci_test1,1,2,232,9,3,3,1.0
aci_test1,1,3,230,23,4,4,1.0
aci_test1,1,4,221,3,2,2,1.0
aci_test1,2,0,391,13,3,3,1.0
aci_test1,2,1,378,15,2,2,1.0
aci_test1,2,2,319,36,4,4,1.0
aci_test1,2,3,375,32,3,3,1.0
aci_test1,2,4,301,11,2,2,1.0
aci_test1,3,0,344,18,3,3,1.0
aci_test1,3,1,414,9,3,3,1.0
aci_test1,3,2,306,7,3,3,1.0
aci_test1,3,3,404,16,4,4,1.0
aci_test1,3,4,355,15,3,3,1.0
aci_test1,4,0,430,10,4,4,1.0
aci_test1,4,1,385,28,4,4,1.0
aci_test1,4,2,378,19,3,3,1.0
aci_test1,4,3,422,9,4,4,1.0
aci_test1,4,4,357,7,4,4,1.0
aci_test1,5,0,289,34,4,4,1.0
aci_test1,5,1,340,25,5,5,1.0
aci_test1,5,2,325,26,5,5,1.0
aci_test1,5,3,306,39,6,6,1.0
aci_test1,5,4,393,15,1,1,1.0
aci_test1,6,0,344,22,2,2,1.0
aci_test1,6,1,333,7,4,4,1.0
aci_test1,6,2,337,2,1,1,1.0
aci_test1,6,3,358,26,3,3,1.0
aci_test1,6,4,344,26,3,3,1.0
aci_test1,7,0,342,7,2,2,1.0
aci_test1,7,1,385,0,0,0,
aci_test1,7,2,315,23,4,4,1.0
aci_test1,7,3,297,19,5,5,1.0
aci_test1,7,4,356,10,4,4,1.0
aci_test1,8,0,323,23,6,6,1.0
aci_test1,8,1,293,20,4,4,1.0
aci_test1,8,2,295,2,1,1,1.0
aci_test1,8,3,296,27,5,5,1.0
aci_test1,8,4,258,25,5,5,1.0
aci_test1,9,0,269,20,3,3,1.0
aci_test1,9,1,258,12,2,2,1.0
aci_test1,9,2,273,28,5,5,1.0
aci_test1,9,3,225,16,7,7,1.0
aci_test1,9,4,266,19,9,9,1.0
aci_test1,10,0,344,16,3,3,1.0
aci_test1,10,1,354,52,4,4,1.0
aci_test1,10,2,358,3,2,2,1.0
aci_test1,10,3,361,20,5,4,0.8
aci_test1,10,4,340,15,2,2,1.0
aci_test1,11,0,396,0,0,0,
aci_test1,11,1,420,17,2,2,1.0
aci_test1,11,2,394,4,1,1,1.0
aci_test1,11,3,352,4,2,2,1.0
aci_test1,11,4,327,16,2,2,1.0
aci_test1,12,0,374,4,1,1,1.0
aci_test1,12,1,276,7,1,1,1.0
aci_test1,12,2,352,4,1,1,1.0
aci_test1,12,3,287,17,3,3,1.0
aci_test1,12,4,444,8,1,1,1.0
aci_test1,13,0,361,10,2,2,1.0
aci_test1,13,1,330,12,2,2,1.0
aci_test1,13,2,324,14,3,3,1.0
aci_test1,13,3,234,3,1,1,1.0
aci_test1,13,4,265,5,1,1,1.0
aci_test1,14,0,328,13,5,5,1.0
aci_test1,14,1,280,24,3,3,1.0
aci_test1,14,2,325,27,5,5,1.0
aci_test1,14,3,292,16,4,4,1.0
